,sentence,tokens,slots
4782,weź mi poleć recenzję,"['weź', 'mi', 'poleć', 'recenzję']","['O', 'O', 'O', 'Doc_type']"
4783,potrzebuję artykułów omawiających niwkę,"['potrzebuję', 'artykułów', 'omawiających', 'niwkę']","['O', 'Doc_type', 'O', 'B-keyword']"
4784,weź mi daj prace poruszające tematykę z problemem statku,"['weź', 'mi', 'daj', 'prace', 'poruszające', 'tematykę', 'z', 'problemem', 'statku']","['O', 'O', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword']"
4785,weź mi daj skrypt w zakresie metodologii budowy regionalnej,"['weź', 'mi', 'daj', 'skrypt', 'w', 'zakresie', 'metodologii', 'budowy', 'regionalnej']","['O', 'O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
4786,"daj mi publikację dotyczącą : niepełnosprawności, kraštas a także literacka","['daj', 'mi', 'publikację', 'dotyczącą', ':', 'niepełnosprawności', ',', 'kraštas', 'a', 'także', 'literacka']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
4787,"dodatkowo wybieram stanowisko, warszawa, rekreacji albo polskie wydanie specjalne","['dodatkowo', 'wybieram', 'stanowisko', ',', 'warszawa', ',', 'rekreacji', 'albo', 'polskie', 'wydanie', 'specjalne']","['O', 'O', 'B-keyword', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword', 'I-keyword']"
4788,niech będzie esej,"['niech', 'będzie', 'esej']","['O', 'O', 'Doc_type']"
4789,no to rozprawa w której są służbie zdrowia,"['no', 'to', 'rozprawa', 'w', 'której', 'są', 'służbie', 'zdrowia']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
4790,"chcę normę, recenzję bądź encyklopedię","['chcę', 'normę', ',', 'recenzję', 'bądź', 'encyklopedię']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
4791,"zapodaj mi skrypty, recenzje lub dokumenty o problemie wiersz","['zapodaj', 'mi', 'skrypty', ',', 'recenzje', 'lub', 'dokumenty', 'o', 'problemie', 'wiersz']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
4792,chcę prace które poinformuje mnie na temat michalskiego albo skokami narciarskimi,"['chcę', 'prace', 'które', 'poinformuje', 'mnie', 'na', 'temat', 'michalskiego', 'albo', 'skokami', 'narciarskimi']","['O', 'Doc_type', 'O', 'O', 'O', 'O', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
4793,no to może być przewodnika praca,"['no', 'to', 'może', 'być', 'przewodnika', 'praca']","['O', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
4794,"może być publikacja, artykuł, patent bądź praca","['może', 'być', 'publikacja', ',', 'artykuł', ',', 'patent', 'bądź', 'praca']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
4795,"zapodaj mi recenzję, normę lub esej wyjaśniający krajów unii europejskiej","['zapodaj', 'mi', 'recenzję', ',', 'normę', 'lub', 'esej', 'wyjaśniający', 'krajów', 'unii', 'europejskiej']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
4796,"niech już będzie dokument, norma, encyklopedia ewentualnie skrypt","['niech', 'już', 'będzie', 'dokument', ',', 'norma', ',', 'encyklopedia', 'ewentualnie', 'skrypt']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
4797,chcę patent odnoszący się do rozwoju,"['chcę', 'patent', 'odnoszący', 'się', 'do', 'rozwoju']","['O', 'Doc_type', 'O', 'O', 'O', 'B-keyword']"
4798,"niech już będą proces budowania marki, rozum a także pracownik","['niech', 'już', 'będą', 'proces', 'budowania', 'marki', ',', 'rozum', 'a', 'także', 'pracownik']","['O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
4799,zaproponuj książkę lub publikację informującą o problemie azji południowej,"['zaproponuj', 'książkę', 'lub', 'publikację', 'informującą', 'o', 'problemie', 'azji', 'południowej']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
4800,"weź mi daj powierzchnię środkowy, design silesia, udział bądź oglądanych","['weź', 'mi', 'daj', 'powierzchnię', 'środkowy', ',', 'design', 'silesia', ',', 'udział', 'bądź', 'oglądanych']","['O', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword']"
4801,może być goshima,"['może', 'być', 'goshima']","['O', 'O', 'B-keyword']"
4802,weź mi poleć patenty albo coś obejmującego poczucie sprawstwo,"['weź', 'mi', 'poleć', 'patenty', 'albo', 'coś', 'obejmującego', 'poczucie', 'sprawstwo']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
4803,masz może eseje ewentualnie normy dotyczące czasach kolonizacji,"['masz', 'może', 'eseje', 'ewentualnie', 'normy', 'dotyczące', 'czasach', 'kolonizacji']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
4804,"masz może artykuły omawiające gim nazjum, rudzienickiej 14-204 rudzienice oraz dystrybucję mieszanka","['masz', 'może', 'artykuły', 'omawiające', 'gim', 'nazjum', ',', 'rudzienickiej', '14-204', 'rudzienice', 'oraz', 'dystrybucję', 'mieszanka']","['O', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword']"
4805,dodatkowo normy ewentualnie rozprawy,"['dodatkowo', 'normy', 'ewentualnie', 'rozprawy']","['O', 'Doc_type', 'O', 'Doc_type']"
4806,polecisz mi rok,"['polecisz', 'mi', 'rok']","['O', 'O', 'B-keyword']"
4807,może być podręcznik albo skrypt odnoszący się do zmiany pozycji społecznej,"['może', 'być', 'podręcznik', 'albo', 'skrypt', 'odnoszący', 'się', 'do', 'zmiany', 'pozycji', 'społecznej']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
4808,daj mi patenty lub publikacje opisujące problematykę z problemem nowego system,"['daj', 'mi', 'patenty', 'lub', 'publikacje', 'opisujące', 'problematykę', 'z', 'problemem', 'nowego', 'system']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
4809,"chciałbym skrypty, prace, publikacje lub coś odnośnie gogol, skanera lub społecznych","['chciałbym', 'skrypty', ',', 'prace', ',', 'publikacje', 'lub', 'coś', 'odnośnie', 'gogol', ',', 'skanera', 'lub', 'społecznych']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword']"
4810,"poleć publikację, patent, podręcznik bądź coś","['poleć', 'publikację', ',', 'patent', ',', 'podręcznik', 'bądź', 'coś']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
4811,"niech będzie podręcznik, esej, artykuł albo praca o problematyce prawa wyborczy","['niech', 'będzie', 'podręcznik', ',', 'esej', ',', 'artykuł', 'albo', 'praca', 'o', 'problematyce', 'prawa', 'wyborczy']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
4812,poleć mi podręcznik ewentualnie skrypt wyjaśniający problematykę człowieka a także roszko,"['poleć', 'mi', 'podręcznik', 'ewentualnie', 'skrypt', 'wyjaśniający', 'problematykę', 'człowieka', 'a', 'także', 'roszko']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
4813,poleć mi eseje dotyczące problematyki boscha,"['poleć', 'mi', 'eseje', 'dotyczące', 'problematyki', 'boscha']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
4814,no to niech będzie esej ewentualnie dokument,"['no', 'to', 'niech', 'będzie', 'esej', 'ewentualnie', 'dokument']","['O', 'O', 'O', 'O', 'Doc_type', 'O', 'Doc_type']"
4815,polecisz mi pracę związaną z dziedziną rozwoju turystyki ewentualnie mazury,"['polecisz', 'mi', 'pracę', 'związaną', 'z', 'dziedziną', 'rozwoju', 'turystyki', 'ewentualnie', 'mazury']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
4816,"niech będą młody kobieta, warszawa","['niech', 'będą', 'młody', 'kobieta', ',', 'warszawa']","['O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword']"
4817,zaproponuj mi normy obejmujące efficiency,"['zaproponuj', 'mi', 'normy', 'obejmujące', 'efficiency']","['O', 'O', 'Doc_type', 'O', 'B-keyword']"
4818,wolę historię i rachunek przepływ,"['wolę', 'historię', 'i', 'rachunek', 'przepływ']","['O', 'B-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword']"
4819,"poleć publikacje które wyjaśni mi tematykę własnych, regionalnej konkurencyjności","['poleć', 'publikacje', 'które', 'wyjaśni', 'mi', 'tematykę', 'własnych', ',', 'regionalnej', 'konkurencyjności']","['O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword']"
4820,"polecisz mi publikację, patent tyczący się polskiego systemu repatriacji, kryzysu, spółdzielczości oraz ojciec","['polecisz', 'mi', 'publikację', ',', 'patent', 'tyczący', 'się', 'polskiego', 'systemu', 'repatriacji', ',', 'kryzysu', ',', 'spółdzielczości', 'oraz', 'ojciec']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword']"
4821,"zapodaj mi przemoc, samorządu terytorialnego rosji lub deborah","['zapodaj', 'mi', 'przemoc', ',', 'samorządu', 'terytorialnego', 'rosji', 'lub', 'deborah']","['O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
4822,"może być książka, skrypt bądź norma omawiająca gospodarstwie","['może', 'być', 'książka', ',', 'skrypt', 'bądź', 'norma', 'omawiająca', 'gospodarstwie']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword']"
4823,"masz może skrypt, rozprawę, esej albo coś dotyczącego tematu biblioteki, kosztu kapitału ewentualnie dziecka","['masz', 'może', 'skrypt', ',', 'rozprawę', ',', 'esej', 'albo', 'coś', 'dotyczącego', 'tematu', 'biblioteki', ',', 'kosztu', 'kapitału', 'ewentualnie', 'dziecka']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
4824,"weź mi daj dokument albo esej omawiający : project management maturity, państwowych uniwersytet, county status oraz jednocześnie bytu ludzkiego","['weź', 'mi', 'daj', 'dokument', 'albo', 'esej', 'omawiający', ':', 'project', 'management', 'maturity', ',', 'państwowych', 'uniwersytet', ',', 'county', 'status', 'oraz', 'jednocześnie', 'bytu', 'ludzkiego']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
4825,zaproponuj mi esej tyczący się polaka lub socjalizmu,"['zaproponuj', 'mi', 'esej', 'tyczący', 'się', 'polaka', 'lub', 'socjalizmu']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword']"
4826,"znajdź dokument tyczący się zrozumiałości, prawej robotyki oraz jednocześnie nieświadczeń usługa","['znajdź', 'dokument', 'tyczący', 'się', 'zrozumiałości', ',', 'prawej', 'robotyki', 'oraz', 'jednocześnie', 'nieświadczeń', 'usługa']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
4827,"masz może archiwum państwowy, usługę, poezję wizualny, rodziny produktów","['masz', 'może', 'archiwum', 'państwowy', ',', 'usługę', ',', 'poezję', 'wizualny', ',', 'rodziny', 'produktów']","['O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword']"
4828,"poleć mi recenzję, pracę o tagu kościół","['poleć', 'mi', 'recenzję', ',', 'pracę', 'o', 'tagu', 'kościół']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
4829,"niech już będzie rozprawa, recenzja, coś","['niech', 'już', 'będzie', 'rozprawa', ',', 'recenzja', ',', 'coś']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
4830,"daj podręcznik, skrypt ewentualnie encyklopedię poruszającą problematykę z dziedziną regionalnych","['daj', 'podręcznik', ',', 'skrypt', 'ewentualnie', 'encyklopedię', 'poruszającą', 'problematykę', 'z', 'dziedziną', 'regionalnych']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword']"
4831,szukam podręcznika albo encyklopedii poświęconej problematyce polityki społeczny ewentualnie języka region,"['szukam', 'podręcznika', 'albo', 'encyklopedii', 'poświęconej', 'problematyce', 'polityki', 'społeczny', 'ewentualnie', 'języka', 'region']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
4832,weź mi daj esej wyjaśniający temat działania władza a także naukowych,"['weź', 'mi', 'daj', 'esej', 'wyjaśniający', 'temat', 'działania', 'władza', 'a', 'także', 'naukowych']","['O', 'O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
4833,zaproponuj mi podręczniki lub recenzje poruszające problematykę działania i ekonomiczniejszych,"['zaproponuj', 'mi', 'podręczniki', 'lub', 'recenzje', 'poruszające', 'problematykę', 'działania', 'i', 'ekonomiczniejszych']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword']"
4834,"może być podręcznik dotyczący kretek henryk, wydawnictwa uniwersytet, wartości własny a także wojciech maguś","['może', 'być', 'podręcznik', 'dotyczący', 'kretek', 'henryk', ',', 'wydawnictwa', 'uniwersytet', ',', 'wartości', 'własny', 'a', 'także', 'wojciech', 'maguś']","['O', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
4835,no to już niech będzie górskiej,"['no', 'to', 'już', 'niech', 'będzie', 'górskiej']","['O', 'O', 'O', 'O', 'O', 'B-keyword']"
4836,"daj mi coś poruszającego problematykę związaną z szkolnej, człowieka oraz edward Preweda","['daj', 'mi', 'coś', 'poruszającego', 'problematykę', 'związaną', 'z', 'szkolnej', ',', 'człowieka', 'oraz', 'edward', 'Preweda']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword']"
4837,chciałbym coś poświęconego problematyce liczby kandydat,"['chciałbym', 'coś', 'poświęconego', 'problematyce', 'liczby', 'kandydat']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
4838,może być rozprawa,"['może', 'być', 'rozprawa']","['O', 'O', 'Doc_type']"
4839,potrzebuję pracy bądź publikacji z współpracy transgranicznej,"['potrzebuję', 'pracy', 'bądź', 'publikacji', 'z', 'współpracy', 'transgranicznej']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
4840,no to już niech będzie udział samorząd i do tego szkołę,"['no', 'to', 'już', 'niech', 'będzie', 'udział', 'samorząd', 'i', 'do', 'tego', 'szkołę']","['O', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword']"
4841,"znajdź podręcznik, recenzję bądź rozprawę","['znajdź', 'podręcznik', ',', 'recenzję', 'bądź', 'rozprawę']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
4842,no to niech będą religia,"['no', 'to', 'niech', 'będą', 'religia']","['O', 'O', 'O', 'O', 'B-keyword']"
4843,znajdź mi coś tyczącego się projektu unijny albo polskiego,"['znajdź', 'mi', 'coś', 'tyczącego', 'się', 'projektu', 'unijny', 'albo', 'polskiego']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
4844,poleć książki bądź publikacje opisujące problem konkretniejszych osoba,"['poleć', 'książki', 'bądź', 'publikacje', 'opisujące', 'problem', 'konkretniejszych', 'osoba']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
4845,"chcę publikacje, patenty, eseje lub recenzje tyczące się substancji","['chcę', 'publikacje', ',', 'patenty', ',', 'eseje', 'lub', 'recenzje', 'tyczące', 'się', 'substancji']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
4846,"masz może rozprawę, artykuł, publikację bądź normę","['masz', 'może', 'rozprawę', ',', 'artykuł', ',', 'publikację', 'bądź', 'normę']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
4847,"może dokumenty odnośnie : dostępu, amidy, porażki polityki publicznej bądź społecznych","['może', 'dokumenty', 'odnośnie', ':', 'dostępu', ',', 'amidy', ',', 'porażki', 'polityki', 'publicznej', 'bądź', 'społecznych']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
4848,no to dokument wyjaśniający postkomunistycznych bułgaria,"['no', 'to', 'dokument', 'wyjaśniający', 'postkomunistycznych', 'bułgaria']","['O', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
4849,znajdź pracę posiadającą elementy tamże,"['znajdź', 'pracę', 'posiadającą', 'elementy', 'tamże']","['O', 'Doc_type', 'O', 'O', 'B-keyword']"
4850,"chciałabym geologię, sudety środkowe góry, agresję albo sytuacji sporu","['chciałabym', 'geologię', ',', 'sudety', 'środkowe', 'góry', ',', 'agresję', 'albo', 'sytuacji', 'sporu']","['O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
4851,zaproponuj artykuły,"['zaproponuj', 'artykuły']","['O', 'Doc_type']"
4852,zapodaj mi rozprawę odnośnie tematu samorządu terytorialny,"['zapodaj', 'mi', 'rozprawę', 'odnośnie', 'tematu', 'samorządu', 'terytorialny']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
4853,chcę skrypt tyczący się calszych świat oraz tłumu,"['chcę', 'skrypt', 'tyczący', 'się', 'calszych', 'świat', 'oraz', 'tłumu']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword']"
4854,"masz może artykuły, prace ewentualnie skrypty na temat wolich, yorka times oraz red.","['masz', 'może', 'artykuły', ',', 'prace', 'ewentualnie', 'skrypty', 'na', 'temat', 'wolich', ',', 'yorka', 'times', 'oraz', 'red.']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword']"
4855,"chciałbym publikację, normę, artykuł albo dokument mający słowo","['chciałbym', 'publikację', ',', 'normę', ',', 'artykuł', 'albo', 'dokument', 'mający', 'słowo']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword']"
4856,"masz może książkę, esej, patent albo pracę odnośnie streszczenia opracowano","['masz', 'może', 'książkę', ',', 'esej', ',', 'patent', 'albo', 'pracę', 'odnośnie', 'streszczenia', 'opracowano']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
4857,"szukam prac poświęconych tematyce böhmego sztuki życia, kryzysu zadłużenie i do tego życia seksualnego samoocena","['szukam', 'prac', 'poświęconych', 'tematyce', 'böhmego', 'sztuki', 'życia', ',', 'kryzysu', 'zadłużenie', 'i', 'do', 'tego', 'życia', 'seksualnego', 'samoocena']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword', 'I-keyword']"
4858,"chcę pracę mówiącą o problemie realizacji projekt, pomocy, pęcherzyka albo zarządzania wiedzą","['chcę', 'pracę', 'mówiącą', 'o', 'problemie', 'realizacji', 'projekt', ',', 'pomocy', ',', 'pęcherzyka', 'albo', 'zarządzania', 'wiedzą']","['O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
4859,zapodaj publikacje albo skrypty zawierające problematykę z problemem znomość,"['zapodaj', 'publikacje', 'albo', 'skrypty', 'zawierające', 'problematykę', 'z', 'problemem', 'znomość']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword']"
4860,chciałbym dokumenty informujące o temacie rodziny i do tego skali kosztów,"['chciałbym', 'dokumenty', 'informujące', 'o', 'temacie', 'rodziny', 'i', 'do', 'tego', 'skali', 'kosztów']","['O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
4861,potrzebuję coś,"['potrzebuję', 'coś']","['O', 'Doc_type']"
4862,"chciałbym dokumenty, skrypty bądź rozprawy posiadające tag kobiet albo dynamiki wzrost","['chciałbym', 'dokumenty', ',', 'skrypty', 'bądź', 'rozprawy', 'posiadające', 'tag', 'kobiet', 'albo', 'dynamiki', 'wzrost']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
4863,"niech będzie kompetencja profesjonalny, ściskania, udział","['niech', 'będzie', 'kompetencja', 'profesjonalny', ',', 'ściskania', ',', 'udział']","['O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'O', 'B-keyword']"
4864,no to wolę ludzkich na cmentarzu a także kontroli pochodzenia,"['no', 'to', 'wolę', 'ludzkich', 'na', 'cmentarzu', 'a', 'także', 'kontroli', 'pochodzenia']","['O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
4865,potrzebuję książki wyjaśniającej środek unijny,"['potrzebuję', 'książki', 'wyjaśniającej', 'środek', 'unijny']","['O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
4866,"znajdź mi normy odnośnie tematu dokumentu elektroniczny, jądra normalny","['znajdź', 'mi', 'normy', 'odnośnie', 'tematu', 'dokumentu', 'elektroniczny', ',', 'jądra', 'normalny']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword']"
4867,zaproponuj mi turystyki religijnej,"['zaproponuj', 'mi', 'turystyki', 'religijnej']","['O', 'O', 'B-keyword', 'I-keyword']"
4868,znajdź mi artykuły w branży wizerunku,"['znajdź', 'mi', 'artykuły', 'w', 'branży', 'wizerunku']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
4869,bardziej celów społecznych bądź portalu,"['bardziej', 'celów', 'społecznych', 'bądź', 'portalu']","['O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
4870,niech będą książki bądź skrypty odnoszące się do tematu człowieka słusznie dumnego,"['niech', 'będą', 'książki', 'bądź', 'skrypty', 'odnoszące', 'się', 'do', 'tematu', 'człowieka', 'słusznie', 'dumnego']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
4871,niech będzie książka ewentualnie recenzja mająca rzeźby,"['niech', 'będzie', 'książka', 'ewentualnie', 'recenzja', 'mająca', 'rzeźby']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword']"
4872,chcę publikacje informujące na temat seksting wśród dzieci i prawda fałsz,"['chcę', 'publikacje', 'informujące', 'na', 'temat', 'seksting', 'wśród', 'dzieci', 'i', 'prawda', 'fałsz']","['O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword']"
4873,"masz może książki albo patenty opisujące tematykę evangelista purkinje, kathak dance oraz sidorowicz politechnika białostocka","['masz', 'może', 'książki', 'albo', 'patenty', 'opisujące', 'tematykę', 'evangelista', 'purkinje', ',', 'kathak', 'dance', 'oraz', 'sidorowicz', 'politechnika', 'białostocka']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword', 'I-keyword']"
4874,"może być dokument lub encyklopedia mająca tag wzrostu, zdrowszych, uznania administracyjny","['może', 'być', 'dokument', 'lub', 'encyklopedia', 'mająca', 'tag', 'wzrostu', ',', 'zdrowszych', ',', 'uznania', 'administracyjny']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword']"
4875,chcę rozprawy w tematyce kultury politycznej,"['chcę', 'rozprawy', 'w', 'tematyce', 'kultury', 'politycznej']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
4876,"no to książki mówiące o problemie rodziny, transportu morski, czesci rosji lub harcerza","['no', 'to', 'książki', 'mówiące', 'o', 'problemie', 'rodziny', ',', 'transportu', 'morski', ',', 'czesci', 'rosji', 'lub', 'harcerza']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
4877,"zaproponuj mi artykuł, podręcznik, publikację albo esej mający pogranicza","['zaproponuj', 'mi', 'artykuł', ',', 'podręcznik', ',', 'publikację', 'albo', 'esej', 'mający', 'pogranicza']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword']"
4878,chcę eseje,"['chcę', 'eseje']","['O', 'Doc_type']"
